file_id	ext	size	md5_hash	storage_path	source_path
3788	jpg			81/be/81bebddaa6c0fa564937c4bead7c2311.jpg	四大品牌素材库/2.老板娘所需宣传资料戳这里！/清颜资料工具包/清颜白富美 展架/清颜-效果对比-展架--JF.jpg
3791	jpg			48/64/4864570617e7695c3e682fab32d00968.jpg	四大品牌素材库/2.老板娘所需宣传资料戳这里！/清颜资料工具包/清颜白富美 展架/白富美-大套-清颜2 cmyk.jpg
3793	jpg			3f/c7/3fc793e6052292e883878808d5cd4287.jpg	四大品牌素材库/2.老板娘所需宣传资料戳这里！/清颜资料工具包/清颜白富美套灯箱/4.5x3.5-清颜对比图灯箱 .jpg
4529	jpg			3f/c7/3fc793e6052292e883878808d5cd4287.jpg	四大品牌素材库/2.老板娘所需宣传资料戳这里！/清颜资料工具包/清颜白富美套灯箱/4.5x3.5-清颜对比图灯箱 .jpg
4525	jpg			11/fd/11fd9c3a9f8fb52538752608f9872fbe.jpg	四大品牌素材库/2.老板娘所需宣传资料戳这里！/清颜资料工具包/清颜白富美套灯箱/4.5x3.5-清颜白富美套盒灯箱 .jpg
3794	jpg			11/fd/11fd9c3a9f8fb52538752608f9872fbe.jpg	四大品牌素材库/2.老板娘所需宣传资料戳这里！/清颜资料工具包/清颜白富美套灯箱/4.5x3.5-清颜白富美套盒灯箱 .jpg
4524	pdf			73/b4/73b4934139ec5682befcda25c8a1f436.pdf	四大品牌素材库/2.老板娘所需宣传资料戳这里！/苏蜜雅资料工具包/苏蜜雅 宣传册 10.16-转曲制作.pdf
4532	jpg			a8/84/a88489fb8dc6d0641161b3e510ed91f3.jpg	四大品牌素材库/2.老板娘所需宣传资料戳这里！/苏蜜雅资料工具包/苏蜜雅灯箱设计/4.5x3.5-苏蜜雅对比图灯箱.jpg
4531	jpg			a8/84/a88489fb8dc6d0641161b3e510ed91f3.jpg	四大品牌素材库/2.老板娘所需宣传资料戳这里！/苏蜜雅资料工具包/苏蜜雅灯箱设计/4.5x3.5-苏蜜雅对比图灯箱.jpg
4527	jpg			8d/a2/8da23ec6f71e4152d7f34476fa80c6e0.jpg	四大品牌素材库/2.老板娘所需宣传资料戳这里！/苏蜜雅资料工具包/苏蜜雅灯箱设计/4.5x3.5-苏蜜雅白富美套盒灯箱 .jpg
4526	jpg			8d/a2/8da23ec6f71e4152d7f34476fa80c6e0.jpg	四大品牌素材库/2.老板娘所需宣传资料戳这里！/苏蜜雅资料工具包/苏蜜雅灯箱设计/4.5x3.5-苏蜜雅白富美套盒灯箱 .jpg
4530	jpg			48/64/4864570617e7695c3e682fab32d00968.jpg	四大品牌素材库/8.爆品+个人介绍展架（线下物料使用）/白富美大套/白富美大套展架-清颜.jpg
