file_id	extension	size	md5_hash	storage_path	name
13249	docx	4096	13e2838f7b038e455ec303ef8e0ffb93	13/e2/13e2838f7b038e455ec303ef8e0ffb93.docx	._微博.docx
13905	docx	4096	25b1ebcc4158c05de0020465db056699	25/b1/25b1ebcc4158c05de0020465db056699.docx	._推文2：华世王镞引爆新消美学习会议在昆明圆满落幕.docx
13245	docx	4096	48eeda4362912e3da40cde403c55196c	48/ee/48eeda4362912e3da40cde403c55196c.docx	._2022.0701乔迁典礼.docx
15380	docx	274	4e2b7c30db0043d8109c379e7a1dd82b	4e/2b/4e2b7c30db0043d8109c379e7a1dd82b.docx	._各类活动话术9.docx
15326	docx	274	253e0121f14583fa7030fd53354b3694	25/3e/253e0121f14583fa7030fd53354b3694.docx	._皮肤敏感中医问答.docx
12386	docx	274	253e0121f14583fa7030fd53354b3694	25/3e/253e0121f14583fa7030fd53354b3694.docx	._皮肤敏感中医问答.docx
14691	docx	274	c360e4f8adfcd84e985c3539e7649686	c3/60/c360e4f8adfcd84e985c3539e7649686.docx	._黑头相关专业话术4.docx
11669	docx	274	c360e4f8adfcd84e985c3539e7649686	c3/60/c360e4f8adfcd84e985c3539e7649686.docx	._黑头相关专业话术4.docx
15221	docx	274	803547e96d906004a3be471489545f6d	80/35/803547e96d906004a3be471489545f6d.docx	._肝胆销售话术4.docx
12083	docx	274	803547e96d906004a3be471489545f6d	80/35/803547e96d906004a3be471489545f6d.docx	._肝胆销售话术4.docx
15338	docx	274	480aae5619d1e078b818797b83ac410b	48/0a/480aae5619d1e078b818797b83ac410b.docx	._黑眼圈相关专业话术7.docx
15335	docx	274	2d0e45690d51734fd1ae22b2c3d4ff87	2d/0e/2d0e45690d51734fd1ae22b2c3d4ff87.docx	._赞美顾客话术.docx
15665	docx	4096	1f12e9c6dbc74b2b5d07be39822fa38c	1f/12/1f12e9c6dbc74b2b5d07be39822fa38c.docx	._推文1：华世王镞引爆新消美生态门店驱动系统学习会议今日盛大启幕.docx
15315	docx	274	6c9030e8dc551b288ef3a29c7ff20864	6c/90/6c9030e8dc551b288ef3a29c7ff20864.docx	._八大筋络话术.docx
12067	docx	274	6c9030e8dc551b288ef3a29c7ff20864	6c/90/6c9030e8dc551b288ef3a29c7ff20864.docx	._八大筋络话术.docx
15332	docx	218	8ac61cd166741571588cdcef77c34c2f	8a/c6/8ac61cd166741571588cdcef77c34c2f.docx	._经络引导话术.docx
12405	docx	218	8ac61cd166741571588cdcef77c34c2f	8a/c6/8ac61cd166741571588cdcef77c34c2f.docx	._经络引导话术.docx
